structures,MagpieData maximum NsUnfilled,MagpieData range NsValence,MagpieData avg_dev NdValence,MagpieData avg_dev Electronegativity,MagpieData minimum NfValence,MagpieData minimum NdUnfilled,MagpieData avg_dev NfUnfilled,MagpieData avg_dev NUnfilled,MagpieData minimum GSmagmom,MagpieData maximum SpaceGroupNumber,compound possible,MagpieData minimum NValence,MagpieData mean Electronegativity,MagpieData mean GSbandgap,MagpieData mode NdValence,MagpieData minimum NpUnfilled,MagpieData minimum NsUnfilled,MagpieData mode GSbandgap,avg ionic char,MagpieData avg_dev Column,packing fraction,MagpieData minimum GSbandgap,MagpieData mean NfUnfilled,MagpieData mean MendeleevNumber,MagpieData avg_dev CovalentRadius,MagpieData minimum NpValence,MagpieData avg_dev NpValence,MagpieData mode NdUnfilled,MagpieData maximum NfUnfilled,MagpieData avg_dev SpaceGroupNumber,MagpieData avg_dev MeltingT,MagpieData mode SpaceGroupNumber,MagpieData minimum GSvolume_pa,MagpieData minimum NfUnfilled,MagpieData maximum NsValence,MagpieData mean GSvolume_pa,MagpieData minimum NdValence,MagpieData avg_dev GSbandgap,MagpieData mode NfValence,MagpieData mode NfUnfilled,MagpieData range Row,vpa,MagpieData minimum NsValence,MagpieData avg_dev NpUnfilled,MagpieData mode GSmagmom,MagpieData minimum NUnfilled,MagpieData maximum GSbandgap,MagpieData range NfUnfilled,MagpieData minimum Column,MagpieData range NsUnfilled,MagpieData mean NdUnfilled,polarization
"Full Formula (H4 C1 S1 N2)
Reduced Formula: H4CSN2
abc   :  40.000000  40.000000  40.000000
angles:  90.000000  90.000000  90.000000
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  H     0.463846  0.534362  0.517442
  1  H     0.501498  0.553497  0.527155
  2  H     0.55145   0.489262  0.494549
  3  H     0.551208  0.527905  0.514164
  4  C     0.50473   0.507305  0.503708
  5  S     0.484081  0.475414  0.48752
  6  N     0.489152  0.533894  0.517204
  7  N     0.538342  0.508569  0.50435",1,1,0,0.30125,0,0,0,1,0,194,1,1,2.50125,6.373,0,0,0,7.853,0.027750005,7,0.000127938,2.202,0,87.125,24.875,0,1.5,0,0,27.125,818.453125,194,5.64,0,2,10.92804688,0,1.512,0,0,2,8000,1,1.5,0,1,7.853,0,1,1,0,3.2
"Full Formula (H18 C9 N1 O1)
Reduced Formula: H18C9NO
abc   :  40.000000  40.000000  40.000000
angles:  90.000000  90.000000  90.000000
Sites (29)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  H     0.443965  0.482365  0.518261
  1  H     0.44809   0.520028  0.541221
  2  H     0.452028  0.480475  0.560483
  3  H     0.499173  0.44151   0.539705
  4  H     0.536213  0.458873  0.523976
  5  H     0.471697  0.446797  0.485001
  6  H     0.509824  0.425906  0.48034
  7  H     0.501726  0.469283  0.43636
  8  H     0.537791  0.475947  0.460355
  9  H     0.445068  0.494744  0.472767
 10  H     0.455209  0.514048  0.435672
 11  H     0.449911  0.538768  0.471889
 12  H     0.540932  0.537265  0.444716
 13  H     0.505124  0.56303   0.449984
 14  H     0.505862  0.531452  0.419105
 15  H     0.501564  0.486643  0.585955
 16  H     0.501883  0.52944   0.575026
 17  H     0.537746  0.504059  0.568426
 18  C     0.458113  0.494756  0.537887
 19  C     0.496428  0.495592  0.531793
 20  C     0.508877  0.46015   0.522036
 21  C     0.498761  0.450197  0.486592
 22  C     0.510381  0.476439  0.461413
 23  C     0.497993  0.512166  0.470154
 24  C     0.460029  0.515053  0.462641
 25  C     0.513565  0.537465  0.444742
 26  C     0.510412  0.504581  0.567175
 27  N     0.504992  0.521438  0.505892
 28  O     0.539583  0.52773   0.508465",1,1,0,0.223876338,0,0,0,1.286563615,0,194,1,1,2.380344828,6.491551724,0,0,0,7.853,0.018694291,6.249702735,0.000252563,0,0,86.82758621,20.5469679,0,1.070154578,0,0,12.11890606,1628.560595,194,5.64,0,2,6.679439655,0,1.690073722,0,0,1,2206.896552,1,1.755053508,0,1,7.853,0,1,1,0,0.5
"Full Formula (H1 C2 Cl3 O2)
Reduced Formula: HC2Cl3O2
abc   :  40.000000  40.000000  40.000000
angles:  90.000000  90.000000  90.000000
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  H     0.558714  0.499381  0.506127
  1  C     0.515239  0.496907  0.530586
  2  C     0.496746  0.500304  0.496998
  3  Cl    0.509225  0.538729  0.478003
  4  Cl    0.509225  0.466459  0.470696
  5  Cl    0.452743  0.49973   0.50267
  6  O     0.501764  0.494133  0.558023
  7  O     0.549372  0.497104  0.528644",1,1,0,0.393125,0,0,0,1,0,194,1,1,2.9575,3.0405,0,0,0,2.493,0.041937333,3.25,0.000270545,0,0,87.75,18.28125,0,1.53125,0,0,70.6875,1393.724375,64,5.64,0,2,13.6996875,0,1.930875,0,0,2,8000,1,1.125,0,1,7.853,0,1,1,0,0.2
"Full Formula (H10 C14 O2)
Reduced Formula: H5C7O
abc   :  40.000000  40.000000  40.000000
angles:  90.000000  90.000000  90.000000
Sites (26)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  H     0.355851  0.5079    0.505296
  1  H     0.384565  0.563014  0.509877
  2  H     0.44591   0.565755  0.505624
  3  H     0.448911  0.457573  0.511652
  4  H     0.389268  0.455467  0.505887
  5  H     0.552185  0.542231  0.502826
  6  H     0.609076  0.544912  0.483422
  7  H     0.641894  0.492725  0.475335
  8  H     0.615362  0.437405  0.486174
  9  H     0.554568  0.434186  0.495467
 10  C     0.382892  0.509164  0.506633
 11  C     0.398915  0.540048  0.508215
 12  C     0.433577  0.541486  0.506913
 13  C     0.452314  0.511879  0.50691
 14  C     0.435942  0.481173  0.509049
 15  C     0.401369  0.479745  0.507059
 16  C     0.488784  0.51504   0.502887
 17  C     0.511913  0.484692  0.502847
 18  C     0.54826   0.488008  0.49823
 19  C     0.564485  0.518841  0.496936
 20  C     0.597696  0.520553  0.487202
 21  C     0.615826  0.491263  0.482611
 22  C     0.600797  0.460248  0.487669
 23  C     0.566718  0.458536  0.494011
 24  O     0.499986  0.543269  0.498014
 25  O     0.500549  0.456149  0.505272",1,1,0,0.218343195,0,0,0,1.408284024,0,194,1,1,2.483846154,5.441307692,0,0,0,4.496,0.023129513,6.272189349,0.000352791,0,0,83.53846154,20.71005917,0,1.065088757,0,0,25.84615385,1889.846746,194,5.64,0,2,6.281538462,0,1.855147929,0,0,1,2461.538462,1,1.822485207,0,1,7.853,0,1,1,0,0.0036
"Full Formula (H4 C6 N2 O5)
Reduced Formula: H4C6N2O5
abc   :  40.000000  40.000000  40.000000
angles:  90.000000  90.000000  90.000000
Sites (17)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  H     0.424261  0.509088  0.501322
  1  H     0.452255  0.563537  0.505918
  2  H     0.520153  0.459291  0.505688
  3  H     0.500325  0.591417  0.498527
  4  C     0.451461  0.50999   0.502507
  5  C     0.467423  0.541044  0.504025
  6  C     0.502313  0.542956  0.502447
  7  C     0.52145   0.513542  0.502247
  8  C     0.505521  0.482198  0.503937
  9  C     0.47057   0.480664  0.5023
 10  N     0.453954  0.448054  0.498798
 11  N     0.558137  0.51416   0.498517
 12  O     0.471693  0.422786  0.498807
 13  O     0.4231    0.448016  0.495397
 14  O     0.572634  0.541154  0.494596
 15  O     0.572675  0.486743  0.498702
 16  O     0.516804  0.573765  0.501016",1,1,0,0.443598616,0,0,0,1.093425606,0,194,1,1,2.787058824,4.191882353,0,0,0,4.496,0.051491873,5.010380623,0.000245421,0,0,84.05882353,14.53287197,0,1.21799308,0,0,75.57093426,1727.20526,194,5.64,0,2,7.9625,0,2.465813149,0,0,1,3764.705882,1,1.314878893,0,1,7.853,0,1,1,0,0.24
"Full Formula (H21 C14 S1 N1 O1)
Reduced Formula: H21C14SNO
abc   :  40.000000  40.000000  40.000000
angles:  90.000000  90.000000  90.000000
Sites (38)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  H     0.564531  0.601519  0.495098
  1  H     0.551945  0.580307  0.458504
  2  H     0.50257   0.601702  0.488571
  3  H     0.514352  0.580224  0.525142
  4  H     0.498457  0.550247  0.456862
  5  H     0.471191  0.549699  0.490761
  6  H     0.553293  0.515903  0.457745
  7  H     0.565664  0.494436  0.493512
  8  H     0.595277  0.547763  0.487511
  9  H     0.571693  0.547402  0.524725
 10  H     0.534053  0.444607  0.482831
 11  H     0.484912  0.404069  0.46622
 12  H     0.433349  0.437917  0.442224
 13  H     0.467376  0.542457  0.540626
 14  H     0.482034  0.522013  0.575712
 15  H     0.450005  0.483984  0.517671
 16  H     0.42953   0.495591  0.554129
 17  H     0.494987  0.442593  0.523968
 18  H     0.509083  0.43042   0.562234
 19  H     0.548704  0.47398   0.539334
 20  H     0.529157  0.487107  0.575731
 21  C     0.551604  0.579272  0.485933
 22  C     0.515479  0.579383  0.497781
 23  C     0.497798  0.548557  0.484254
 24  C     0.514074  0.514874  0.495641
 25  C     0.551728  0.516529  0.485198
 26  C     0.569739  0.547797  0.497404
 27  C     0.498813  0.485577  0.475546
 28  C     0.510624  0.453123  0.471943
 29  C     0.484306  0.430781  0.462789
 30  C     0.456774  0.447891  0.450771
 31  C     0.478353  0.51879   0.548619
 32  C     0.454157  0.489611  0.543959
 33  C     0.499219  0.452     0.548701
 34  C     0.524304  0.481295  0.549259
 35  S     0.463521  0.489878  0.450714
 36  N     0.511514  0.512152  0.533334
 37  O     0.466837  0.460767  0.561223",1,1,0,0.214072022,0,0,0,1.360110803,0,194,1,1,2.393684211,6.223578947,0,0,0,7.853,0.015389201,6.573407202,0.000433327,0,0,85.97368421,22.65789474,0,1.13434903,0,0,15.25761773,1763.604044,194,5.64,0,2,7.040411184,0,1.812171745,0,0,2,1684.210526,1,1.832409972,0,1,7.853,0,1,1,0,0.006
"Full Formula (H2 C2 F2)
Reduced Formula: HCF
abc   :  40.000000  40.000000  40.000000
angles:  90.000000  90.000000  90.000000
Sites (6)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  H     0.450756  0.521625  0.508768
  1  H     0.450756  0.478375  0.491232
  2  C     0.464473  0.5       0.5
  3  C     0.497764  0.5       0.5
  4  F     0.51455   0.52708   0.51098
  5  F     0.51455   0.47292   0.48902",1,1,0,0.713333333,0,0,0,1.333333333,0,194,1,1,2.91,4.773,0,0,0,1.97,0.108611962,6.444444444,6.33E-05,1.97,0,87.33333333,15.77777778,0,1.777777778,0,0,79.55555556,1684.108889,15,5.64,0,2,7.320833333,0,2.053333333,0,0,1,10666.66667,1,1.555555556,0,1,7.853,0,1,1,0,13
"Full Formula (H10 C18 N2 Cl2 O4)
Reduced Formula: H5C9NClO2
abc   :  40.000000  40.000000  40.000000
angles:  90.000000  90.000000  90.000000
Sites (36)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  H     0.387682  0.407672  0.493512
  1  H     0.386414  0.469551  0.49707
  2  H     0.435864  0.4996    0.508681
  3  H     0.441853  0.377767  0.495208
  4  H     0.561426  0.377538  0.497104
  5  H     0.615438  0.408148  0.496938
  6  H     0.615455  0.469983  0.491179
  7  H     0.564598  0.497861  0.482648
  8  H     0.524618  0.622201  0.522948
  9  H     0.494809  0.488275  0.447422
 10  C     0.410907  0.42149   0.496716
 11  C     0.409859  0.45583   0.499544
 12  C     0.439435  0.473065  0.505149
 13  C     0.470827  0.457138  0.504028
 14  C     0.471912  0.421862  0.501305
 15  C     0.441684  0.404845  0.498085
 16  C     0.530177  0.421421  0.498898
 17  C     0.561001  0.404734  0.497303
 18  C     0.591812  0.421584  0.496136
 19  C     0.592302  0.455674  0.49251
 20  C     0.561936  0.471869  0.490087
 21  C     0.530667  0.456307  0.497574
 22  C     0.501571  0.510111  0.49178
 23  C     0.526489  0.529227  0.512848
 24  C     0.531788  0.565118  0.509286
 25  C     0.500902  0.584545  0.504808
 26  C     0.473732  0.569852  0.49226
 27  C     0.473409  0.534011  0.481279
 28  N     0.500944  0.404873  0.5
 29  N     0.500591  0.474103  0.501577
 30  Cl    0.437454  0.592428  0.485771
 31  Cl    0.543895  0.513863  0.549751
 32  O     0.558342  0.578552  0.514063
 33  O     0.45168   0.524948  0.461198
 34  O     0.501891  0.617533  0.51487
 35  O     0.510978  0.504713  0.456839",1,1,0,0.292098765,0,0,0,1.308641975,0,194,1,1,2.612777778,4.9255,0,0,0,4.496,0.03414967,5.462962963,0.000637711,0,0,83.5,18.08641975,0,1.049382716,0,0,45.74074074,1888.483333,194,5.64,0,2,7.850625,0,1.794333333,0,0,2,1777.777778,1,1.617283951,0,1,7.853,0,1,1,0,1.8
"Full Formula (H10 C18 Br2 N2 O4)
Reduced Formula: H5C9BrNO2
abc   :  40.000000  40.000000  40.000000
angles:  90.000000  90.000000  90.000000
Sites (36)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  H     0.389109  0.397574  0.491605
  1  H     0.387436  0.459368  0.494513
  2  H     0.437115  0.490665  0.500582
  3  H     0.443606  0.368541  0.492071
  4  H     0.560272  0.366783  0.494097
  5  H     0.615393  0.395206  0.494395
  6  H     0.61794   0.456922  0.488571
  7  H     0.569713  0.487494  0.48106
  8  H     0.5239    0.613773  0.520006
  9  H     0.5463    0.527029  0.465631
 10  C     0.4123    0.411825  0.492705
 11  C     0.411334  0.446217  0.494749
 12  C     0.44122   0.464243  0.496958
 13  C     0.472916  0.449133  0.493585
 14  C     0.473348  0.413503  0.49281
 15  C     0.443255  0.395799  0.492686
 16  C     0.531014  0.411976  0.490838
 17  C     0.56099   0.393935  0.492201
 18  C     0.592374  0.409462  0.492014
 19  C     0.594263  0.443489  0.48831
 20  C     0.56486   0.461281  0.484728
 21  C     0.532645  0.447036  0.488196
 22  C     0.506785  0.503746  0.489779
 23  C     0.521284  0.519342  0.520978
 24  C     0.528576  0.554662  0.514805
 25  C     0.499617  0.575031  0.505575
 26  C     0.473985  0.560461  0.489404
 27  C     0.47749   0.525027  0.477118
 28  Br    0.434834  0.583378  0.478374
 29  Br    0.548403  0.498345  0.552463
 30  N     0.501763  0.395915  0.492484
 31  N     0.503405  0.465862  0.490902
 32  O     0.557302  0.565933  0.513919
 33  O     0.458721  0.514845  0.454795
 34  O     0.501014  0.60863   0.512705
 35  O     0.527719  0.511769  0.460988",1,1,1.049382716,0.274814815,0,0,0,1.308641975,0,194,1,1,2.601666667,4.867944444,0,0,0,4.496,0.031944201,5.462962963,0.000705893,0,0,83.55555556,18.64197531,0,1.049382716,0,0,45.74074074,1883.25,194,5.64,0,2,8.127430556,0,1.832703704,0,0,3,1777.777778,1,1.617283951,0,1,7.853,0,1,1,0,0.8
"Full Formula (H2 C6 I2 O4)
Reduced Formula: HC3IO2
abc   :  40.000000  40.000000  40.000000
angles:  90.000000  90.000000  90.000000
Sites (14)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  H     0.54849   0.436972  0.500843
  1  H     0.493896  0.582251  0.496136
  2  C     0.488948  0.534529  0.503139
  3  C     0.521964  0.52855   0.503563
  4  C     0.534531  0.493958  0.508145
  5  C     0.510545  0.466076  0.503128
  6  C     0.477518  0.471738  0.50304
  7  C     0.464552  0.506413  0.50759
  8  I     0.443069  0.433619  0.496813
  9  I     0.556935  0.56611   0.497178
 10  O     0.563792  0.487024  0.514425
 11  O     0.435139  0.512222  0.514133
 12  O     0.524169  0.434412  0.498982
 13  O     0.475653  0.566332  0.498834",1,1,2.448979592,0.382857143,0,0,0,1.224489796,0,194,1,1,2.77,3.200428571,0,0,0,4.496,0.043866326,3.469387755,0.000552479,0,0,84.71428571,18.32653061,0,1.387755102,0,0,80.65306122,1809.98449,194,5.64,0,2,12.10857143,0,2.439795918,0,0,4,4571.428571,1,1.346938776,0,1,7.853,0,1,1,0,4.2
